Date,Open,High,Low,Close,Volume
2-Jan-2015,32.92014584,33.02920703,32.56181083,32.82666779,9921100
5-Jan-2015,33.25511208,33.4732315,32.77993025,32.82666779,26292600
6-Jan-2015,33.03700548,33.44986973,32.90457845,33.07595444,16897500
7-Jan-2015,33.34080136,33.58228954,33.16942542,33.48881149,13412300
8-Jan-2015,33.63682116,33.94062708,33.57450047,33.89388657,21743600
9-Jan-2015,33.86272776,33.93283705,33.45765223,33.51996994,12733500
12-Jan-2015,33.55113759,33.65240724,33.07595267,33.21617126,11415800
13-Jan-2015,33.36418425,33.68357043,33.06816686,33.20838547,12529500
14-Jan-2015,32.77993154,33.18500411,32.77213997,33.15384674,13447600
15-Jan-2015,33.36417636,33.38754513,32.85003959,33.01362991,11193100
16-Jan-2015,32.9980509,33.17721842,32.90457283,33.13047791,15114900
20-Jan-2015,33.26289615,33.75366101,33.19278688,33.62123108,17047300
21-Jan-2015,33.41091198,33.83156769,33.30964235,33.77703857,10720600
22-Jan-2015,33.78481629,34.14315417,33.55111974,34.10420227,14709100
23-Jan-2015,33.96399173,34.08084152,33.63681708,33.7380867,12357700
26-Jan-2015,33.63682733,33.67577628,33.36418171,33.49660873,11151900
27-Jan-2015,33.13826551,33.21616339,32.8344596,33.02141571,15274000
28-Jan-2015,33.17721401,33.34080134,32.6397115,32.6552887,14278500
29-Jan-2015,32.53844772,32.83446507,32.30475106,32.79551315,13657900
30-Jan-2015,32.5851855,32.66308339,32.02431119,32.07104874,19193700
2-Feb-2015,32.10220279,32.4293804,31.8607176,32.39822006,15197500
3-Feb-2015,32.52286802,32.60076592,32.22685067,32.42938995,13193100
4-Feb-2015,32.53844348,32.78772028,32.42159368,32.4683342,16400000
5-Feb-2015,32.56181997,32.57740015,32.33591189,32.55403137,11078500
6-Feb-2015,32.42938789,32.53065456,32.18789968,32.28916931,12366400
9-Feb-2015,32.23464386,32.28917298,31.96978684,32.11779404,13371100
10-Feb-2015,33.42649697,33.51997504,32.87341419,33.02921295,32184200
11-Feb-2015,32.79551242,33.09932134,32.48391788,33.0058403,20496300
12-Feb-2015,33.02921093,33.23174723,32.77214254,32.85004044,13818200
13-Feb-2015,32.7331962,32.89678356,32.53065691,32.70982742,10792100
17-Feb-2015,32.56960678,32.6241359,32.4371768,32.56960678,12804200
18-Feb-2015,32.52285861,32.56180755,32.30474219,32.50727844,9789800
19-Feb-2015,32.46833271,32.90456857,32.35148292,32.80329895,16578300
20-Feb-2015,32.74878114,32.80331027,32.43718357,32.69425201,15982400
23-Feb-2015,32.49170699,32.85004206,32.47612681,32.60076523,11830300
24-Feb-2015,32.60075876,32.9746769,32.53844105,32.81887817,12782700
25-Feb-2015,32.85003934,32.90457143,32.51507604,32.75656128,10323300
26-Feb-2015,32.74877967,33.14606374,32.69425054,33.07595444,14346500
27-Feb-2015,33.12269278,34.01074191,33.08374383,33.73030472,28312800
2-Mar-2015,33.73029886,33.73029886,33.55892291,33.65240097,13514600
3-Mar-2015,33.58229527,33.62124422,33.37196739,33.45765686,10036300
4-Mar-2015,33.43427222,33.48101272,33.08372886,33.10709763,16263000
5-Mar-2015,33.15385137,33.19280032,32.91236314,33.02921295,9223000
6-Mar-2015,32.81108599,32.87340667,32.19568562,32.34369278,18180500
9-Mar-2015,32.35147458,32.36705474,32.18788728,32.24241638,10123300
10-Mar-2015,32.01651434,32.05546625,31.6893397,31.6971283,14599100
11-Mar-2015,31.72830254,31.72830254,31.22196018,31.23753738,18549700
12-Mar-2015,31.49672968,31.86589432,31.43389487,31.86589432,17728700
13-Mar-2015,31.76379185,31.86590182,31.11186591,31.34750175,17438400
16-Mar-2015,31.41818682,31.69309475,31.41033359,31.64596939,15238800
17-Mar-2015,31.94443635,31.9915647,31.66952844,31.81876373,21661800
18-Mar-2015,31.79520588,32.03869792,31.26109645,31.88945961,26247500
19-Mar-2015,31.79519774,31.82661664,31.38676104,31.43388939,16057600
20-Mar-2015,31.47317996,31.9365985,31.42605158,31.92874527,31608500
23-Mar-2015,31.92087799,32.15651379,31.81091481,31.90516853,17060500
24-Mar-2015,32.13295251,32.19579033,31.78735352,31.78735352,13485700
25-Mar-2015,31.88160203,31.96800252,31.60669412,31.77163887,22811300
26-Mar-2015,31.68523721,31.85803817,31.59883673,31.69309044,17359600
27-Mar-2015,31.79519422,31.79519422,31.39461379,31.48101425,14384400
30-Mar-2015,31.5045837,31.89731099,31.37105486,31.81876373,12561400
31-Mar-2015,31.81876839,32.12509824,31.69309576,31.8501873,16604800
1-Apr-2015,32.03869197,32.05440142,31.59883634,31.95229149,14300700
2-Apr-2015,31.99156362,32.10152678,31.79519998,31.95229149,14343100
6-Apr-2015,32.02298578,32.68276779,31.8816037,32.33716583,19843400
7-Apr-2015,32.24290571,32.49425091,32.18007091,32.21148682,9773400
8-Apr-2015,32.18792812,32.27432861,31.9994207,32.11723709,8954700
9-Apr-2015,32.04655242,32.26648179,31.91302656,32.24291611,12710900
10-Apr-2015,32.27432736,32.32930894,32.08581696,32.10938263,8720000
13-Apr-2015,32.1800735,32.1800735,31.96800041,31.96800041,9616300
14-Apr-2015,31.88160154,31.92872989,31.66952844,31.81876373,11209700
15-Apr-2015,31.88159611,32.05439704,31.66952305,31.73236084,11189100
16-Apr-2015,31.7402243,32.09367951,31.6538238,31.88945961,13121000
17-Apr-2015,31.78734696,31.93658225,31.49672662,31.65381813,15330300
20-Apr-2015,31.74807025,32.12509106,31.74021703,31.93658066,13023700
21-Apr-2015,31.94442992,32.19577809,31.842323,32.03083038,19673100
22-Apr-2015,32.64349577,32.651349,32.25862168,32.44713211,26887200
23-Apr-2015,32.38429401,32.52567609,32.140802,32.16436768,17408800
24-Apr-2015,32.23505648,32.29789128,32.05440228,32.11723709,11623300
27-Apr-2015,32.20364382,32.32146322,32.03084282,32.07011795,10044600
28-Apr-2015,32.16436945,32.1800789,31.88945851,32.02298737,12174800
29-Apr-2015,31.93657298,32.00726399,31.73235617,31.80304718,11371400
30-Apr-2015,31.73236344,31.87374549,31.63810674,31.85803604,12700800
1-May-2015,31.87375513,32.1486631,31.81091732,32.13295364,10848300
4-May-2015,32.10939494,32.28219297,32.02299442,32.17222977,10204800
